StudentID,StoryID,ClaimNum,NoteTrend,Claim
10375188,0,1,0,I think that this is partly true because at  first it is a egg and then it goes into the caterpillar for a long time then it will go into the chrysalis then the last thing of its cycle is it goes into the butterfly and then it will go to its place to migrate but the place will not be to clod or it will not be to worm  it will  be just right for the butterfly to live in the winter time.
10375188,0,2,0,"I think this is true because in the winter time when they go to hibernate I think that most of all butterfly""s go to mexico because it is the most right temperature for the butterfly\'s to stay at mexico longer in the winter."
10375190,10,1,0,I think it doesn't mater
10375190,10,2,0,every time in two years the temperature was in between 84-86
14546105,10,1,0,i dont know addy addy addy addy and bestfriends are brynn tyler maddys erin sabree dill pickle sammy myself my sleep peralisis demond
14546105,10,2,0,the article said so
14546112,10,1,0,"The Sea turtles, male or female, are born at a temperature of 80 to 90 degrees F."
14546112,10,2,0,The Heights of sand go up and down through the years\n
14546125,0,1,0,I think it's partly true because it shows that inside they are mostly still chrysalis and outside its more of caterpillars
14546125,0,2,0,This is true because
14546131,10,1,0,vanessa
14546131,10,2,0,vanessa
14546132,10,1,0,The temperature changes the gender because when they are first laid they sea turtles are are not formed. The sea turtles are really undentified
14546132,10,2,0,Because I said so
14546133,0,1,0,ariana
14546133,0,2,0,ariana
14546149,0,1,0,hdjhvjusdnvh
14546149,0,2,0,becues
14546159,10,1,0,"I believe that the temperature can maybe change if it is a male or female, but I don't really know.  Some of the results say record that there were 4 males or females in a row at the same place wich there temperatures would be different in different places, but they also show in some sections that they can be scattered (one female one day a male a different day). But on the other hand, a female lays there eggs all together in the same place under the sand so the temperature would be very close in the same hole and there are different genders in one hole.  So I think that it can be true or false."
14546159,10,2,0,"The temperature has been mostly the same when you look at the data, so obviously, it wouldn't be decreasing over the years."
14546164,10,1,0,i dont know
14546164,10,2,0,i dont know\n
14546176,0,1,0,The temperatures are not that different. They are all in the high 50s/low 60s. The majority is the caterpillar even though the temperatures at least 1 degree apart. But then again a few degrees can make a difference depending on the study.
14546176,0,2,1,"The population went down almost 900 million in only 17 years. The butterfly population went down 13 million in one year. Therefore, the population is going down rapidly!"
14546180,10,1,1,"The graph provided with the investigation shows that commonly the higher temperature sands normally have hatching female turtles unlike hatching male turtles that do their thing in colder sands. Now in the graph, some male turtles hatch in warmer sands than female hatching turtles but not as often as the other way around. I still stick with my decision with true with my reasons conveniently said and the graph for evidence"
14546180,10,2,0,I think the scientists are wrong the sands are not going down in temperature and the graph provides the evidence to support. Yes by the graph the sands go up and down every recorded time like it can go up then it can go down then back up then down but the last one is back up which supports my stupid claim\n
14546182,0,1,0,"Most of the monarchs are still caterpillars because it takes a long time to create a chrysalis,and since it takes long to make a chrysalis it is partly true.But if we did the same but with only chrysalis we will see that its just in the middle."
14546182,0,2,0,Sam
14546188,0,1,0,idk brynn brynn brynn brynn brynn brynn brynn brynn brynn
14546188,0,2,0,idk brynn brynn brynn brynn brynn brynn brynn brynn brynn brynn brynn brynn brynn brynn
14546202,0,1,0,If the monarch butterfly goes through the stages fast then it's probably used to doing something fast and not having the patients to do stuff so that's probably one of it's habit
14546202,0,2,0,no they are not because other monarch butterfly are migrating there.
14546206,0,1,1,"i think that this is partly true because the article said that the weather cant be too cold and cant be to warm. i think this could affect how they grow, if the monarch butterfly are in too warm of weather they could not grow properly. if they are in too clod of weather they could take longer to grow, or even worst die. i do agree that it can cause them to to grow. if monarch butterfly are in to warm or harsh weather it could cause the population to go down in stead of up. that is why i think climate can cause butterfly to not grow."
14546206,0,2,0,"i think this claim is false because, you can see in  1996 there were 909.50 monarch butterfly a year. now in 2013 there are only 33.50 that is a big difference. its because of the weather and global warming. that is why i think that claim is false. i am not saying they are  wrong but i am giving my thoughts and telling them why i think that."
14546207,10,1,1,"In the graph, you can see many of the females were found in Playa and many of the males in Suriname. The temperature for the females is mostly high ranging from 88-84. From this, we can make the claim that females spawn in warmer climates. As the males spawn in cooler areas."
14546207,10,2,0,"As seen in the chart sample one is shown the highest. If you look underneath it you can see sample number 27 and 26. This shows that the climate of the island has not changed very much. Yes, the last test is showed low but most of the other tests show high temperatures."
14546209,0,1,0,the temperature does affect the life cycle of butterflies according to the evidence on the table.
14546209,0,2,1,the population of monarch butterflies has severely gone down from 1996 to 2013
14546221,0,1,0,i think it is true partly true and partly false because if they are in a really cold environment it probably would affect it when it comes out but it is partly not because when they are in the crystallites it can not affect them as much as when they come out
14546221,0,2,0,it is partly true and partly false because it has gone up and done in the different years it has changed over all the years it has gone up and down
14546227,10,1,1,"i believe that the sand can affect the gender some times because in the data that shows has the highest temperatures on top with the lowest on bottom and almost all of the high temps are female rather than male one of the highest temps is 88.08 and is female as well as 87.09, 86.97, 86.54, 86.26, those are the highest temps and they are all female the lowest temperature of the female in this test is 84.20 but most of the males is 83.31, 83.25, 82.45, 82.29, the highest of the males in this test is 85.19 quite low to the female turtles. I did say that this thought was partly true/partly false for these reasons"
14546227,10,2,1,This thought is partly true/partly false because the sand in the 1960's through the 1982's these years had the lowest temps in theses years all the other years above that mostly are higher numbers\n
14546230,10,1,1,because in the hotter temperature the female eggs hatched
14546230,10,2,0,the change in weather can happen
14546246,0,1,0,"I think its wrong because there are similar temperatures and some die as a caterpillar and some die in a chrysalis. for example, there is one where it's 60.90 and it dies as a caterpillar then there's one where its 60.98 and it dies as a chrysalis."
14546246,0,2,0,I think is's false from 1996 the was 909.50 million butterflies going to Mexico compared 2018 with 302.50 million to 2013 with only 33.50
14546250,0,1,0,I believe that the temperature of the monarchs habitats does not depend on the monarchs habitat temperature. The reason that it doesn't depend on the  temperature is because the results vary between inside and outside of the temperature of the chrysalis. One of the temperature for the chrysalis is 59.54 Fahrenheit  and another is 63.14 Fahrenheit that is a 4 degree difference. Also the colder one is outside and  the hotter one is inside. That's why i Believe that the temperature does not matter for a monarch caterpillar to turn into a chrysalis.
14546250,0,2,0,False because on the graph the numbers change depending on the years. because 1996 the butterfly rate was really hi and in 2013 it was really low.
14546256,10,1,0,because the  evidence shows that the temperature is in the 80s so the sand has to be in the 80s to be hatched
14546256,10,2,0,i think this because the temperature is going down and then going right back to the temperature it was at before.
14546260,0,1,1,I think this is fales because most of the higher the tepitures are still in the chrysallis stage
14546260,0,2,0,i think this is false because the evedace shows the number of butter go up\n
14546262,10,1,0,it shows that really no matter what temp it is that any male or female can hatch
14546262,10,2,1,well in 1960 the temp was 84.56 and in 2016 the temp was 85.16 witch is higher but the temp did drop some years but it has clearly gone up
14546263,10,1,0,"I believe this claim is false. I believe it to be false because in the graph you can clearly see there is nearly an equivalent amount of male and female leatherback hatchlings. In addition, they are hatched in the same temperature range of about 80 to 85 Fahrenheit."
14546263,10,2,0,"This claim is false because there is barely a decline in temperature. If you were to say that there is a decline you would need to know it only drops down 1 degree every few years. In the graph, you can see that in 2000,1994, 1992, 1974, 1988, and 1962, it stays 85 degrees Fahrenheit."
14546287,0,1,0,sample #7 is almost the exact same tep as #60
14546287,0,2,0,the numbers ether drop or raise depending on the year
14546289,10,1,0,i dont now
14546289,10,2,0,i dont now
14546293,10,1,0,\nthe sands temperature in the ocean shore affects if  it will be a boy or a girl who will hatch from the   turtles egg.
14546293,10,2,0,"the temperature of  the sand in raine island,Australia has been  decreasing since 1960."
14816104,10,1,0,i think it is false because under the sand the temp is the same even when it is colder abouve ground\n
14816104,10,2,0,i think it is false because the sand cant get colder anly the water can
14816107,0,1,0,i thin that is true becaus that is wat the data said and thats the srcul of life for a buter fliy
14816107,0,2,0,i think thay can not fliy that fast to my grat thay are spostohibrnat in a ckon
14816112,10,1,1,in the lower tempature there are mainly males till 84.20 then it is mixed till 85.42 where the rest are al female
14816112,10,2,0,because in 1960 the tempature was 84.56 in 1994 the tempature was 85.57 as so in 2016
14816114,10,1,1,when it is the warmer climates the eggs are female and when the climates are below 85  they are male
14816114,10,2,1,when you go to the 1960 the temps were 84 and when you go to dates higher up you see the actually increase
14816116,10,1,0,"I think it is false because if an egg is laying playa sand it can come out as a female or male because if you look at the chart and look at what gender is next to playa sand it will say either female or male, not just male, not not just female. Same to do with the Suriname sand."
14816116,10,2,1,"I think it is false because if you look at the temperature in 1960 it is lower than in 2016, so than means that the temperature is not decreasing, that means that the temperature is increasing from 1960 to 2016."
14816119,10,1,1,"The sand temperature affects whether leather-back eggs hatch as male or female because scientific research proves that when the eggs have been laid in warmer sand, the turtle is a female. When the egg is laid in cooler sand, the turtle is a male. Also, These turtles have been laid in different locations. So we know that in Playa the turtles don't tend to be female. That part is totally random. The Male and Female's were both scattered around Playa and Suriname."
14816119,10,2,1,"Some are saying that the temperature of the sand in Raine Island, Australia has been decreasing since 1960. This information is incorrect. As I have made my graph of data that has been collected from the past years, I have found that the temperatures have gone up since 1960, not gone down."
14816133,10,1,0,is all way hot on a iland so they have t o udapt to the heat and there in the sand so the egg are cept cold
14816133,10,2,1,i think it false because of climit chang it get hoter and hoter.
14816142,0,1,0,i think that if the temperature where to change the speed of the butterfly's growth then all the factors in the butterfly's life would change the speed of the butterfly growth and its life cycle i think maybe the winter could make them die so that why they go down to other areas such as Mexico and based on the data it says that the chrysalis was in 63 degree weather and that was the top degrees in this hole graph so that shows that the weather doesn't speed the life cycle of the monarch butterfly's.
14816142,0,2,0,The reason i said it was partly true was because 2006 2005 2007 where about the same but years like 2018 2017 are not the same at all.
14816146,0,1,0,I think this claim is true because if its cold the butterflies are gonna want to be in their Chrysalis. Like when you are cold you wouldn't want to be outside in the cold you want to be raped up in your blanket cause its warmer.
14816146,0,2,1,I think this statement is false because butterflies dies in a quick amount of time they don't stay around for 17 years and the data on the chart has different numbers leading up to 2013 as you can see it has gone down.
14816149,10,1,0,I thinks it is true because a Leather back  can have male or female. some male and female have temper in there body that makes it feel warm or cold.
14816149,10,2,0,"I think it would be partly true and partly false because the temperature of the sand and rain   island , Australia BUT IT THINK IT PROBALEY WOULD BE TRUE"
14816155,0,1,1,I believe that the claim is partly true and partly false because in some parts it shows that maybe the cooler temperatures can change the affects is has on the life cycles but also the temperature is not really changing the affects because there may be a section where a cooler temperature shows that the life cycle is in the caterpillar form then is switches to a chrysalis but it can then switch back to the caterpillar making me believe it is partly true and partly false.
14816155,0,2,0,The number of butterfly have continuously been going up and down each year some dropping my the millions but the number is always changing each year making me say that this claim is false and that the number of butterflies has stayed the same each year. the lowest the butterfly population has been was in 2013 and the most is has been was in 1996 the numbers are way different than this author said.
14816159,0,1,1,I think that it partially matters what temperature it is for a monarch butterfly to effect how fast it's life cycle goes because when i was looking at the data i noticed that if the temperature was over or at 60.48 then it was more likely to be in a chrysalis.
14816159,0,2,0,I think that this claim is false because when i was looking at the data for butterfly population I lined up the years from least to greatest and i started at the year 1993 because that's when scientists started keeping track of the monarch butterfly population and i saw that it kept on climbing up and the population started getting bigger and bigger.
14816176,0,1,0,think that the tempter dose not matter as long as the butter file can survive.
14816176,0,2,0,i think the claim is false because the number of butter flies has changed
14816180,10,1,1,"The sand temperature affects whether leatherback eggs hatch as male or female because looking at the data, males have lower temperatures while the females have more.\n"
14816180,10,2,1,"I think that the temperature in the sand in Raine Island, Australia has NOT been decreasing since 1960, because in our data, the temperature is actually increasing instead of decreasing, for example in 1960, the temperature was 84.5 F, and in 2016, the temperature is up to 85.5."
14816188,0,1,0,because if it is cold the babies will die
14816188,0,2,0,IDK
14816193,0,1,1,When the temperature is higher its seems to male it slower because all of the chrysalis is 59 degrees or above and all of the caterpillars are 60 degrees and under. The chrysalis stage comes first and is all a higher temp than the caterpillars stage is after the chrysalis stage and is a lowe temp.
14816193,0,2,1,In 1996 the count was 909.50 million and just a year after it dropped to 630.50 and all the way up in 2013 the count was 33.50 million so it has dropped about 880 million.
14816201,0,1,0,"The temperatures of a monarch butterfly's can affect the life cycle because for example, the intense heat may interfere with butterfly's natural habitat and life cycle changes and can put heat on monarch butterfly's life cycle by shutting down their organs, or maybe slowing down the process of growing."
14816201,0,2,1,"The monarch butterfly population has decreased by millions. The amount in 1996 909.50, to 2013 33.50. That was a HUGE decrease in population. I should have their job because I even know that."
14816202,10,1,1,why i bileve that tempicher effects weather they are male or female because if you look on the cart most male eggs have lower tepicer and female has higher tempicher that is my reason why
14816202,10,2,0,on the chart it shows that the temperature has decreased and in crested over time making this evidence true
14816204,0,1,0,i picked partly true and parly false because i feel like a butterfly starts asa catterpiller then grows to be a butterfly like other butterflys like ones we have in maine like the ones that come out in the summer and they have to have temperture thats not to hot or cold that is what i think\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\
14816204,0,2,0,i think it is true because it said people whached the butterfly so i think it is true if they said they whached the butterflyin mexico it has to be in the right temperture not to warm or to cold.\n
14816205,10,1,1,females only hatch above 85 degrees and males hatch at 85 degrees and lower
14816205,10,2,1,in the year 2016 the temperature was higher than in 1960
14816207,0,1,0,i think that the statement was true because a butterfly cant be in the cold for as long as a caterpillar can because of the high winds and over the rain or snow coming down with all the hard pressure.
14816207,0,2,1,i think this claim is partly true and false because monarch count has stayed in the millions but the numbers have gone way lower. since 1996
14816209,0,1,0,I think this claim is true because the butterfly can't be in the cold or high winds unlike a caterpillar that stays on the ground.
14816209,0,2,1,I think this claim is partly true and false because the monarch count has stayed in the millions but the numbers have increasingly have gone way lower sense 1996.
14816211,10,1,1,the leather back turtles gender is of the heat the females are mostly hotter than the males. the two that i pointed to were a boy and a girl the girls 5 hotter than the boy
14816211,10,2,1,when i sorter the years i  the new one is the hottest with 85.57 and the last is 84.56
14816239,10,1,0,I think the claim is false because there were similar tempters and it was out of order if it was male or female and in the wild scientists cant control the tempter of the beach so why wouldn't there be more of one type of gender
14816239,10,2,0,all the temperatures are reasonibly close to each other
14816267,10,1,0,i said no because it says on the top temperature 85.80 and its a female and on the 2nd one down is says 85.04 and its a male
14816267,10,2,0,no because it goes from 85.21 to 86.72 also it keeps going from 84 to 85.
14816271,10,1,1,I say yes because it seems that the male are in the low 80s and that the male also and the female are hatching as female in the high 80s
14816271,10,2,1,I say that it is false because the weather is staying at the mid 85-88 and that means it is only getting warmer not colder
18715104,0,1,1,when the caterpiler is in his chrysalis stage it is hoter but when it is in its normal stage it is ushiy less worm [NOTE: grayed out rows already coded in Feb13 file]
18715104,0,2,0,because eavry one of them are diffrent numbers\n
18715107,10,1,0,I really don't know.
18715107,10,2,0,I really don't know
18715116,0,1,0,Because the temperature is higher.
18715116,0,2,0,Because the numbres on the chart.
18715119,0,1,0,I think it's partly true and partly false because there are some caterpillars that have not became a chrysalis in the same temperature as the caterpillars that have already became chrysalis.
18715119,0,2,0,I think it's true because from 1994 to 2006 there has been about ten more or less than the year before and/or the year after that.
18715120,0,1,0,butterfly's like the warmness but it does not help them grow does the warmness help us grow we like it like butterfly's it does not help us grow.
18715120,0,2,0,because more butterfly's have grown sense 1993 so the population has grown and grown sense then
18715133,0,1,1,"the monarch is a caterpillar when it is bellow 59 degrees and its a chrysalis when it is 59 degrees or higher.  But not always, #3 was a caterpillar while it was 59.36 degrees and #29 was still a cater pillar when it was 60.90 degrees."
18715133,0,2,0,"In 1993, when scientists started keeping track, there where 311.50 million Monarchs, but in 2018 there were 302.50 million Monarchs."
18715142,10,1,0,yes because 50 50
18715142,10,2,0,because in the picture it was dawn and some time's its cold at night time
18715149,0,1,0,i think it is true because it said on one that it is a caterpillar and it was 56.84 (F) but then when it was in a chsalar so the wather sangis all the time so the caterpillar is in all cinds of wether.
18715149,0,2,0,because there are no data that the monarch butterfly has stayed in one place for many times in a row. it did not come back in 2013 but they did come back in 2014. so it is false they did not stay in on place for a whily\n
18715155,10,1,0,I think its true because in the important data its says the temperature can change if its a girl or boy
18715155,10,2,0,"I know why it would be true, because Where it says claim two,  it says that its decreasing."
18715159,10,1,0,?
18715159,10,2,0,?
18715176,10,1,0,it shows that the higher temperature always gets female and every low temperature would be male
18715176,10,2,0,in many years there's proof of temperature rising an decreasing back and forth.
18715180,0,1,0,Because you have to know the butterfly's temperature if you are going to learn about them\n
18715180,0,2,0,Because mexico can not stay the same it haves to change at some point that's what I think.
18715188,10,1,0,because when my uncle was in the coast gaured  had to practice scuba diving and when he did did they broat like a almost 100 year old turtle in i think i said i think to do somethng with it he never told me what he did with the turtle
18715188,10,2,0,because i was watching a lazar beam vid and he said tutles are mostly laying eggs in kindoff middil tempature  but i belive hed tell us if they were laying eggs in warm wether or cold wether
18715201,10,1,1,Because some male temps are low that means that females are high temps. But some males are quite high in temps.
18715201,10,2,0,The graph shows that the temps of the sand have decrease but in some years they got higher.
18715202,0,1,0,I think this is true because if it is super cold outside the butter fly will be very cold and might freeze to death.  But if it is to hot the butter fly might die of heat.
18715202,0,2,0,The answer to the question is false.  It is false because the information I am getting says that it has gone up a lot more.
18715205,0,1,1,because some are a high temperature and the monarchs are still caterpillars but some of the low temperatures are chrysalises
18715205,0,2,1,because the butterfly count goes down a lot ever 1 to 2 years
18715206,10,1,1,I think its true because if you look at the data on the chart you can see that male turtles are hatched when the sand temperature is 85.04 and below and the females temperature is  is 85.04 and higher.
18715206,10,2,1,"It has not decreased since 1960 it accutally risen a little bit. Because, if you look on the chart 1960 the temperature was 84.56 put then in about ten years it droped down a little bit but then rose back up, In 2002 the temperature was 86.72. It has risen 1.26 in the temperature."
18715211,0,1,0,I dont know
18715211,0,2,0,i dont know
18715214,10,1,1,"True, because if the sand is cool then it is a male, but if the sand is hot then it is a female."
18715214,10,2,0,"Yes, because if you look at the temperature it is going down and down more."
18715239,0,1,0,they wod be dead of the temprchor.\n
18715239,0,2,0,becase mecsco is a relhy wome stat. they wodnot be daed.
18715259,10,1,0,I think this claim is true because in Playa the temperature is 85.80 and the turtle is a Female and in Playa the temperature is 80.67 and the turtle is a Male.
18715259,10,2,0,I think this is false because in 1960 the temperature was 84.56 and the the temperature in 1962 was 85.10 so its been going up not down.
18715267,0,1,0,i dont know
18715267,0,2,0,I dont know\n
18715293,10,1,0,BECASE IM HOMEAFOBIC AND I HATE TRANSEGENDER
18715293,10,2,0,this is boring
18715322,10,1,1,The females are usually hotter.
18715322,10,2,0,It has not been decreasing because it got higher.
18715324,0,1,0,because some times its colder than other times and its still the same part of the cycle\n
18715324,0,2,1,because its going down evrey year
18715326,10,1,0,Most eggs don't hatch with warm weather but they also can hatch themselves.\n
18715326,10,2,0,The reason why I think it is false is because it can't be true.\n
18715337,0,1,0,"because it starts from caterpillar to chrysalis, then it ends with a caterpillar not a butterfly."
18715337,0,2,0,because it went from 33.50 to 909.50.
18715341,10,1,0,Because when it's a girl the temperature is in the 80's and when its a boy the temperature is in the 80's too.
18715341,10,2,0,Since 1960 the temperature has bean in the 80's but it has bean going down but not by much at all
18715352,0,1,0,i think  it is false because they don't rush right throw  there life sycel
18715352,0,2,0,because they go to mexico in winter
18715354,10,1,1,In Playa most of the females sand temperature is higher than the males sand temperature. Like number 1 Playa 85.80 was a female. then number 8 at Playa 80.67 was a male. So it must make a difference if the temperature of the sand is high or low because almost all of the lower ones are male and most of the higher ones are female.
18715354,10,2,1,In 1960 the sand temperature was 84.56 and in 2016 the sand temperature was 85.57. So clearly it has not been decreasing it has actually been increasing.
18715383,10,1,0,latherback sea turtles are the bigest species. and they can get up to 2000 pounds but the green sea turtle can get up to 500 pounds an live up to 100 years old
18715383,10,2,0,it is very important to know understand protect these beautiful  animals
18715391,0,1,0,i don't know you tell me
18715391,0,2,0,if anyting there over popualated
24465101,0,1,1,"All higher temperatures above 59.50 are in stage 3 or 4 because of how high the temperature is in there location. But just 6 of them are still in stage 2 though.I have thought about it and came up with this theory, they may have been born just went the temperature was warmer and they still are growing fast but just have not made the cut."
24465101,0,2,0,It is true because from 1993 to 2018 it has stayed very close .The count is off by 9.00 million monarch butterflies.
24465106,10,1,1,I can see that the Female has bigger numbers then the Males
24465106,10,2,0,I think its False because its not the first one to be the lowest number
24465107,0,1,0,becuse i feel like it is true and
24465107,0,2,0,becase\n
24465121,0,1,1,"The claim is false because I sorted it lowest to highest temperature and the caterpillars was yes, all in one group, but they kept going back 'n' forth. Caterpillars, chrysalis, then back to caterpillars. \nSo therefor the caterpillars will form into pupa at different rates in different temperature, however, it changes groups in the same temperature!\nFor instance, 59.36 is in the caterpillar bunch, but, the pupa is in 59.54.So maybe temperatures could support faster growth, however, due to the continuous changing i believe that this statement is also incorrect. That is why the statement is partly true, and partly false.\n"
24465121,0,2,0,"I think that this is incorrect information because it states ""...the monarch butterfly population in mexico has stayed about the same.""\nHowever, as you see in my graph, through the years the population has gone anywhere from a bit less than 100 million to 900 million!\nDue to they scattering of the population I believe that in the past recorded years the population hasn\'t decreased, or increased. It has went back and forth, meaning that it is not only healthy, but that it is going on a natural in predicable course.\nSo, in conclusion, claim #2 is completely incorrect."
24465153,10,1,0,I think it is true because a turtle needs to feel comfortable when they are laying their eggs.
24465153,10,2,1,In 1960 the temperature was 84.56 and the temperature kept getting higher not decreasing.\n
24465156,10,1,0,sometimes it might be harder to lay eggs and give birth in colder-weather because it might hurt
24465156,10,2,0,it might of been decreasing because of the weather
24465163,10,1,0,Cause the type of turtles only hatch as males
24465163,10,2,0,It goes down and goes up\n
24465171,0,1,0,I think it is because if its cold the butterfly might freeze and if they are warm they will have a longer lifespan and they migrate so if the to some place warm and the tempature changes they might die
24465171,0,2,0,I think the numbers change depending like how much food they\neat or the tempature or the breeding.
24465178,10,1,1,84.20 and up is allmost all female
24465178,10,2,1,if anything the temperature has bean going up in stead of down because if you look is gose from 84.56 all the way to 85.57\n
24465189,0,1,1,"Every chrysalis tested had a temperature between 59 degrees and 63 degrees. The majority of  the chrysalises were inside.\nEvery caterpillar tested was between 54 and 60 degrees. Most caterpillars were outside. the locations for both were very close between more inside or more outside. Overall, I think it is partially true is because it is true, but the difference in temperature ranges was very small and might not mean anything. Also, the location may or may not have made a difference."
24465189,0,2,1,The count overall got smaller.
24465201,0,1,1,if it is warm out it will change faster than if it is cold
24465201,0,2,0,it will stay the same because it is warm\n all year around
24465203,10,1,1,"The temperature for male eggs was between 80-86, which is lower than the 84-87 that the female eggs had. I believe that if the egg is warmer, females will hatch. If it's colder, males will hatch."
24465203,10,2,0,"The temperature seems to go up and down each year. It isn't exactly decreasing, but it does go down a tiny bit each year. But then it will rise again, being back to the temperature it was before. I believe it's partly true, but the temperature rises again in a few years,"
24465214,0,1,0,i'm not good with math\n
24465214,0,2,0,this is why i think that the answer is true because up in the right corner  it says that in mexico the population stayed about the same.
